Gene,Name,baseMean,baseMean_N2_20C,baseMean_N2_34C,log2FoldChange,lfcSE,stat,pvalue,padj
WBGene00004469,rps-0,80411.75635,59738.71715,101082.8376,0.748323607,0.097660793,7.662477249,1.82E-14,6.76E-13
WBGene00003966,pdl-1,158.0667356,223.8709538,91.42984624,-1.241273731,0.162007859,-7.661811851,1.83E-14,6.78E-13
WBGene00006946,prx-10,685.88961,836.9095864,536.3280859,-0.635589177,0.082958733,-7.661510181,1.84E-14,6.78E-13
WBGene00003993,pgl-2,270.9542829,190.9948435,351.6028954,0.864107173,0.112864183,7.656168268,1.92E-14,7.06E-13
WBGene00017769,hmgs-1,940.5345812,1193.644497,687.0190296,-0.784787207,0.102576526,-7.650748516,2.00E-14,7.35E-13
WBGene00015536,glb-2,44.49035427,74.77282457,13.82625705,-2.11637971,0.276717273,-7.648166257,2.04E-14,7.48E-13
WBGene00044615,B0252.8,110.4689876,169.7883065,51.59737566,-1.602207596,0.209519473,-7.647058179,2.06E-14,7.53E-13
WBGene00013026,Y49A3A.3,358.4390243,215.7682216,500.1148005,1.170685976,0.153098064,7.646641301,2.06E-14,7.54E-13
WBGene00004408,rla-0,93840.22265,71263.00445,116415.8178,0.699487393,0.091542539,7.641118556,2.15E-14,7.86E-13
WBGene00000055,acr-16,224.9871801,337.5652199,112.6151298,-1.491837985,0.19528392,-7.639328341,2.18E-14,7.95E-13
WBGene00015096,B0261.8,824.4723119,1112.273807,535.9933898,-1.025337502,0.134300148,-7.634671392,2.26E-14,8.23E-13
WBGene00021152,mgl-3,121.4627015,176.6202021,66.64459544,-1.340827262,0.175657301,-7.633199714,2.29E-14,8.31E-13
WBGene00016916,C54D2.2,136.8977339,194.1501242,80.03060324,-1.229182772,0.161041173,-7.632723673,2.30E-14,8.32E-13
WBGene00017798,slc-17.8,286.1858816,417.9299401,154.9219562,-1.362993833,0.178768142,-7.624366481,2.45E-14,8.86E-13
WBGene00009114,F25D7.5,18.8423168,0.552236831,37.13911134,3.062215525,0.402355724,7.610716945,2.73E-14,9.83E-13
WBGene00008857,timm-23,4566.391787,3361.613388,5770.246888,0.76797066,0.100939336,7.608239699,2.78E-14,1.00E-12
WBGene00010592,K06A4.2,49.41155922,84.26231455,14.59575854,-2.173469812,0.285686884,-7.607873981,2.79E-14,1.00E-12
WBGene00017436,F13H8.3,74.8459675,114.4491614,35.02909055,-1.59194931,0.209274696,-7.606984208,2.81E-14,1.01E-12
WBGene00012244,mrps-11,1817.006398,1320.226434,2314.23666,0.796854818,0.104781823,7.604895504,2.85E-14,1.02E-12
WBGene00002003,hse-5,723.0955057,996.8302034,449.2976231,-1.113051384,0.146911767,-7.576325617,3.55E-14,1.27E-12
WBGene00002162,isp-1,14671.7884,12638.24767,16705.53019,0.400913126,0.052927089,7.574819193,3.60E-14,1.28E-12
WBGene00020701,T22F7.1,385.0641952,494.5190637,274.1942366,-0.835735194,0.110355054,-7.573148318,3.64E-14,1.30E-12
WBGene00003732,nhx-4,335.3349271,455.931424,214.7633902,-1.055032633,0.139343689,-7.571441818,3.69E-14,1.31E-12
WBGene00044588,ZK1236.9,68.6204518,16.7736813,121.0327335,2.362512593,0.312164778,7.568158735,3.79E-14,1.34E-12
WBGene00003029,lin-44,249.6968168,387.1158292,113.0308615,-1.646153567,0.217648028,-7.563374614,3.93E-14,1.39E-12
WBGene00004434,rpl-22,57918.31353,39139.57383,76696.33154,0.948209459,0.125455028,7.558162277,4.09E-14,1.44E-12
WBGene00020112,pfd-5,1971.330781,1577.344857,2364.473561,0.579073024,0.07670309,7.549539681,4.37E-14,1.54E-12
WBGene00010908,imph-1,2687.992216,3496.097914,1879.885899,-0.877465105,0.11630829,-7.544304075,4.55E-14,1.60E-12
WBGene00001508,fut-8,572.5073184,766.5386133,378.6525371,-0.991691057,0.131498905,-7.541439635,4.65E-14,1.63E-12
WBGene00003704,nhr-114,5595.838897,4235.927568,6955.529923,0.706394579,0.093724698,7.536909598,4.81E-14,1.69E-12
WBGene00004111,pqn-21,713.3806571,888.4123224,537.6080082,-0.715208324,0.094986571,-7.529573026,5.09E-14,1.78E-12
WBGene00010959,nduo-1,24167.06709,16378.67424,31955.11197,0.942151245,0.125184009,7.526130967,5.23E-14,1.83E-12
WBGene00007516,gpx-5,503.0768304,367.5344457,639.1170521,0.785585968,0.104397649,7.524939234,5.27E-14,1.84E-12
WBGene00000070,acy-3,1584.71316,1938.973423,1232.059299,-0.647235961,0.086035592,-7.522886109,5.36E-14,1.87E-12
WBGene00003746,nlp-8,520.162889,670.752722,370.6029074,-0.840373865,0.111741091,-7.520723674,5.45E-14,1.89E-12
WBGene00008423,D2045.5,17.88365529,1.0957856,34.68778428,2.947419771,0.391893751,7.520966496,5.44E-14,1.89E-12
WBGene00015053,B0222.1,100.3437985,152.665337,47.17656809,-1.578417496,0.209887048,-7.520318713,5.46E-14,1.89E-12
WBGene00022865,ufbp-1,1606.02936,1162.638766,2049.863697,0.80453461,0.106978677,7.520513743,5.46E-14,1.89E-12
WBGene00219700,linc-6,25.00401242,4.389188842,45.9678412,2.589533155,0.344718375,7.512025294,5.82E-14,2.01E-12
WBGene00021691,Y48G8AL.13,1551.68959,1166.898964,1934.364691,0.719475699,0.095880765,7.503858535,6.20E-14,2.13E-12
WBGene00016973,abch-1,146.8741436,225.89803,67.73402827,-1.613213655,0.215141854,-7.498372009,6.46E-14,2.22E-12
WBGene00000501,cho-1,210.238578,304.6716731,114.899636,-1.339177569,0.178691665,-7.494348263,6.66E-14,2.29E-12
WBGene00004497,rps-28,25192.15829,17435.38166,32948.34522,0.89889036,0.120051945,7.487511858,7.02E-14,2.40E-12
WBGene00010896,M28.5,6753.304794,8456.37811,5050.616732,-0.733254889,0.09794124,-7.486681668,7.06E-14,2.41E-12
WBGene00011899,nlp-68,94.62865893,141.4277937,48.20274029,-1.462350966,0.195385805,-7.484427895,7.19E-14,2.45E-12
WBGene00009529,F38B2.2,87.50364302,131.192476,43.60708131,-1.491880226,0.199553505,-7.47609132,7.66E-14,2.61E-12
WBGene00004439,rpl-25.2,14842.93184,11166.60722,18517.77552,0.719912856,0.096370294,7.470277673,8.00E-14,2.72E-12
WBGene00021350,Y37E3.8,74517.49411,51771.86297,97262.85076,0.890842181,0.119309468,7.466651167,8.23E-14,2.79E-12
WBGene00006538,tbb-4,355.155109,468.8873109,241.8834648,-0.933115953,0.12500642,-7.464544272,8.36E-14,2.83E-12
WBGene00009881,F49C12.12,4778.834733,3845.902768,5711.922266,0.565918742,0.075924854,7.453669144,9.08E-14,3.07E-12
WBGene00009995,F53F4.13,5110.568315,4211.633175,6008.476066,0.509180468,0.06831649,7.453258611,9.11E-14,3.07E-12
WBGene00004912,sng-1,311.9081183,413.6032036,209.2889561,-0.95888594,0.128679654,-7.451729257,9.21E-14,3.10E-12
WBGene00009843,F48C5.2,290.0337233,439.5115343,141.0303749,-1.533609588,0.205807455,-7.451671701,9.22E-14,3.10E-12
WBGene00002694,let-502,1724.100242,2092.947297,1356.667935,-0.619240317,0.083110643,-7.450794479,9.28E-14,3.12E-12
WBGene00007041,tag-180,448.2410379,630.8358696,266.2004723,-1.196999287,0.160707023,-7.448332173,9.45E-14,3.17E-12
WBGene00004136,pqn-51,1580.492182,1183.724017,1978.984014,0.731089675,0.09816102,7.447861463,9.49E-14,3.17E-12
WBGene00007007,mak-2,2050.095262,1571.961102,2526.299731,0.67630033,0.090818282,7.446742189,9.57E-14,3.20E-12
WBGene00206522,F14D2.19,557.258763,323.5399269,789.6968581,1.234586324,0.165831925,7.444804857,9.71E-14,3.24E-12
WBGene00003519,nac-3,1052.991905,1278.648599,829.0303106,-0.618887189,0.083196899,-7.438825249,1.02E-13,3.37E-12
WBGene00011108,R07E3.7,143.684009,201.713745,86.25870859,-1.179766134,0.158594607,-7.438879259,1.02E-13,3.37E-12
WBGene00012591,nspe-1,299.7896562,119.6017643,480.6116084,1.817330426,0.244296204,7.439044882,1.01E-13,3.37E-12
WBGene00011955,cdka-1,581.5590425,768.6439474,395.0283535,-0.938029875,0.126140455,-7.436392031,1.03E-13,3.43E-12
WBGene00001325,eor-2,441.4247747,543.5027131,339.4288471,-0.671174216,0.090300493,-7.432675019,1.06E-13,3.52E-12
WBGene00019858,R03H10.6,73.21303725,32.6359807,114.4423567,1.668024429,0.224558268,7.428024995,1.10E-13,3.64E-12
WBGene00003706,nhr-116,90.51338667,136.5548749,44.77316615,-1.506951768,0.202894344,-7.427273416,1.11E-13,3.65E-12
WBGene00022866,ZK1240.1,27.38515064,5.007765789,49.6944406,2.545066091,0.342723515,7.426003698,1.12E-13,3.68E-12
WBGene00011883,mrpl-50,2098.021257,1691.570325,2504.58783,0.561544437,0.075661512,7.421797691,1.16E-13,3.79E-12
WBGene00009584,drap-1,3122.249779,1554.221061,4691.335619,1.495115392,0.201680359,7.413291999,1.23E-13,4.04E-12
WBGene00017712,F22E5.17,18.79660446,2.469356791,35.10243599,2.706529754,0.365168065,7.411737261,1.25E-13,4.08E-12
WBGene00020586,frpr-18,88.63835955,135.8999151,41.40075904,-1.591713652,0.214820732,-7.409497385,1.27E-13,4.14E-12
WBGene00020844,T27A10.2,61.1551223,96.82470253,25.7541457,-1.742318397,0.235330731,-7.403701127,1.32E-13,4.32E-12
WBGene00009579,arrd-6,155.8394486,221.7612906,89.82096779,-1.248359854,0.168673335,-7.401050387,1.35E-13,4.40E-12
WBGene00006650,tts-1,2612.154164,120.0125464,5104.058619,3.022892982,0.408739384,7.395648911,1.41E-13,4.56E-12
WBGene00009890,scl-9,15.72452267,0.153291553,31.70972815,3.042950705,0.411445874,7.395749718,1.41E-13,4.56E-12
WBGene00009190,F27D4.6,479.7750035,597.3667692,362.0717888,-0.712626835,0.096370832,-7.394631993,1.42E-13,4.59E-12
WBGene00011326,T01D3.1,619.6015365,830.330422,409.9466117,-0.991375056,0.13417959,-7.388419164,1.49E-13,4.80E-12
WBGene00002045,icd-1,46496.41813,37740.59502,55249.6586,0.545533291,0.07385138,7.386907223,1.50E-13,4.85E-12
WBGene00044791,bnc-1,17.11238612,33.37067835,0.783020048,-2.907526632,0.393808207,-7.383103187,1.55E-13,4.98E-12
WBGene00013734,Y111B2A.10,927.0936019,694.0471891,1159.000484,0.729313306,0.098803077,7.381483739,1.57E-13,5.03E-12
WBGene00001993,hpd-1,10044.84663,7384.26786,12705.4021,0.770511948,0.104505326,7.37294427,1.67E-13,5.36E-12
WBGene00018208,F39G3.3,483.1944943,334.2651526,631.5056146,0.897912829,0.121804692,7.371742521,1.68E-13,5.40E-12
WBGene00004453,rpl-39,31805.80611,21215.99762,42394.98105,0.973190801,0.132140689,7.364807958,1.77E-13,5.68E-12
WBGene00010239,F58B4.6,105.2967435,159.3315871,51.83588355,-1.514662899,0.205782833,-7.360492027,1.83E-13,5.85E-12
WBGene00012100,sipa-1,1295.976936,1725.265996,865.6103559,-0.969674978,0.131840026,-7.354936174,1.91E-13,6.09E-12
WBGene00009454,F36A2.7,9689.697527,7884.326154,11493.28864,0.539520769,0.073370557,7.353368828,1.93E-13,6.15E-12
WBGene00044411,R12B2.8,52.19178187,87.36086243,17.50384856,-2.024424351,0.27534095,-7.352427423,1.95E-13,6.19E-12
WBGene00006452,heh-1,3064.279523,2523.552896,3605.902314,0.511323593,0.069551501,7.351726175,1.96E-13,6.21E-12
WBGene00004729,sax-3,1240.211594,1610.238951,871.4037399,-0.867862465,0.118106529,-7.348132866,2.01E-13,6.37E-12
WBGene00008438,DH11.5,872.0592833,1066.786719,677.6464719,-0.647318021,0.08818193,-7.340710535,2.12E-13,6.72E-12
WBGene00020931,cytb-5.2,4208.662265,3209.421903,5209.346892,0.689840207,0.094112288,7.329969607,2.30E-13,7.27E-12
WBGene00009778,F46C5.1,41.36409311,6.092062785,76.74955763,2.66251758,0.363279945,7.329106973,2.32E-13,7.30E-12
WBGene00009825,F47G4.4,389.4318808,538.5718129,241.3484332,-1.118091929,0.152696423,-7.32231908,2.44E-13,7.67E-12
WBGene00013195,Y54E2A.10,71.51045696,113.5867968,29.97682774,-1.747746524,0.238741187,-7.320674527,2.47E-13,7.75E-12
WBGene00020054,R13D7.2,610.7555946,791.6875672,431.1455464,-0.859173556,0.117365255,-7.320510296,2.47E-13,7.75E-12
WBGene00014022,ZK637.2,2108.529825,1616.076734,2602.325433,0.678754557,0.092784326,7.315401096,2.57E-13,8.03E-12
WBGene00012819,Y43F8B.9,60.59771319,13.17629716,108.3609251,2.425642784,0.331763156,7.311368796,2.64E-13,8.26E-12
WBGene00020030,kel-20,429.6972477,285.4666977,575.0218989,0.983458237,0.134605319,7.306236095,2.75E-13,8.57E-12
WBGene00001053,dop-2,200.5399411,280.6387492,120.9026565,-1.168650581,0.160007423,-7.303727298,2.80E-13,8.70E-12
WBGene00017659,F21C10.10,453.1152642,188.2277296,719.0940087,1.757609966,0.240640557,7.3038809,2.80E-13,8.70E-12
WBGene00013321,Y57G11C.31,1232.27338,1830.912326,632.3912995,-1.442692082,0.19755947,-7.302571111,2.82E-13,8.77E-12
WBGene00013803,snx-13,1464.403047,1742.240609,1188.56859,-0.547258202,0.074969866,-7.299708912,2.88E-13,8.94E-12
WBGene00000443,ceh-20,1013.474165,1291.034038,734.2386934,-0.7999496,0.109708196,-7.291612004,3.06E-13,9.48E-12
WBGene00011374,T02D1.8,1291.117654,1057.043922,1525.596317,0.525380158,0.072102926,7.286530388,3.18E-13,9.83E-12
WBGene00016945,sulp-1,71.86050941,108.6518211,34.671769,-1.533239471,0.21150036,-7.249346872,4.19E-13,1.29E-11
WBGene00010142,F56A8.8,23.4731534,4.102349812,42.90467592,2.54415076,0.351137224,7.245460136,4.31E-13,1.33E-11
WBGene00014975,Y116A8A.10,39.33345514,11.75879461,66.54471446,2.127646448,0.293791361,7.242032027,4.42E-13,1.36E-11
WBGene00011990,T24D5.2,284.9389148,368.8585294,199.7690118,-0.866214789,0.119662943,-7.238788963,4.53E-13,1.39E-11
WBGene00004893,sms-2,225.4306527,296.7205334,154.4916436,-0.919331794,0.12706799,-7.234959731,4.66E-13,1.43E-11
WBGene00001648,goa-1,4771.749833,6290.099818,3254.652738,-0.927715876,0.128234538,-7.234524268,4.67E-13,1.43E-11
WBGene00008356,nspc-20,815.7427854,582.0094951,1048.427985,0.832721652,0.115111794,7.234025484,4.69E-13,1.43E-11
WBGene00000270,bre-5,134.0493426,197.9706105,70.18075273,-1.409574013,0.194892559,-7.23256969,4.74E-13,1.45E-11
WBGene00003064,lpd-8,1219.215829,916.6063963,1521.918614,0.720969635,0.09977625,7.225864215,4.98E-13,1.52E-11
WBGene00000379,cct-4,12272.84215,10878.96883,13665.62499,0.328037102,0.045435616,7.21982288,5.21E-13,1.58E-11
WBGene00010904,ugt-62,1901.196783,2953.836555,847.8291901,-1.653595605,0.229094832,-7.217952452,5.28E-13,1.60E-11
WBGene00003238,mig-1,428.7720071,569.9822853,287.4389848,-0.961802518,0.133569661,-7.200755875,5.99E-13,1.81E-11
WBGene00010640,K07F5.16,244.2560447,152.5528902,334.9641998,1.095701288,0.152272044,7.195682551,6.21E-13,1.88E-11
WBGene00001386,far-2,16519.30528,12651.03411,20388.33666,0.679603624,0.094464932,7.19424247,6.28E-13,1.90E-11
WBGene00004187,prp-8,8144.948104,10387.06979,5903.904136,-0.800368504,0.111307144,-7.190630126,6.45E-13,1.95E-11
WBGene00011738,T12G3.2,2083.16272,2840.822259,1324.778555,-1.064788568,0.148376253,-7.176273489,7.16E-13,2.16E-11
WBGene00015644,C09E8.1,1016.222691,1291.142987,741.5848687,-0.78601218,0.109554707,-7.174608914,7.25E-13,2.18E-11
WBGene00015301,C01F1.6,314.8606779,414.8743236,214.0557654,-0.931093087,0.129797971,-7.17340249,7.32E-13,2.20E-11
WBGene00004425,rpl-13,55001.9792,42392.68178,67608.95481,0.665031043,0.092716795,7.172713925,7.35E-13,2.20E-11
WBGene00016002,gyf-1,1876.648717,2345.880793,1408.732442,-0.72483473,0.101114921,-7.168425058,7.59E-13,2.27E-11
WBGene00004349,rgs-6,443.881478,565.1034266,323.5482433,-0.790290197,0.11038384,-7.159473678,8.10E-13,2.42E-11
WBGene00008646,F10C2.5,782.221308,942.399221,621.7096613,-0.594134827,0.08299136,-7.158996122,8.13E-13,2.42E-11
WBGene00000268,bre-3,964.0212114,1295.114142,632.1099674,-1.004783096,0.140474578,-7.152775315,8.50E-13,2.53E-11
WBGene00219847,C34E11.20,13.60631158,0.15329151,27.18823543,2.945572104,0.412214298,7.14573007,8.95E-13,2.66E-11
WBGene00006748,unc-8,126.9474535,189.2547635,65.5507585,-1.435518882,0.200935788,-7.144167278,9.05E-13,2.68E-11
WBGene00011605,sftb-1,2694.19756,3086.918392,2300.366967,-0.422177002,0.059093045,-7.144275653,9.05E-13,2.68E-11
WBGene00009337,uig-1,1676.37777,1966.668561,1384.694511,-0.502581648,0.070356905,-7.143316639,9.11E-13,2.70E-11
WBGene00010605,K06G5.1,4214.414949,5572.769814,2855.563415,-0.940120527,0.131666347,-7.140173247,9.32E-13,2.75E-11
WBGene00000877,cyn-1,6196.159576,4591.121739,7801.893066,0.752612896,0.105544449,7.130767193,9.98E-13,2.94E-11
WBGene00002005,hsp-1,78407.80918,55376.72045,101438.652,0.854949939,0.119901555,7.130432453,1.00E-12,2.95E-11
WBGene00002092,ins-9,56.9016144,101.8755786,12.35129608,-2.39682589,0.33620794,-7.128998465,1.01E-12,2.97E-11
WBGene00019481,cogc-6,1608.902134,2181.46567,1037.045742,-1.039197627,0.145813272,-7.126907003,1.03E-12,3.01E-11
WBGene00007099,trx-2,1669.852408,1269.485765,2069.279154,0.695155789,0.097631652,7.120188722,1.08E-12,3.16E-11
WBGene00014772,F56D5.4,844.5279981,654.9126825,1033.120959,0.649714807,0.091268146,7.118746593,1.09E-12,3.19E-11
WBGene00016073,C24H12.4,2814.003041,2332.469476,3294.37068,0.494682603,0.069523382,7.115341494,1.12E-12,3.26E-11
WBGene00016440,gipc-1,27.63448037,3.298908929,51.85680667,2.69510848,0.378787,7.115102889,1.12E-12,3.26E-11
WBGene00003889,osm-9,90.26977824,131.0081699,49.71622028,-1.324281203,0.186328368,-7.107244147,1.18E-12,3.45E-11
WBGene00009315,F32B4.5,175.7395028,235.1787417,116.0452765,-0.989922673,0.139346026,-7.104061015,1.21E-12,3.52E-11
WBGene00004778,ser-3,143.9940359,205.3630502,82.37254034,-1.255901741,0.176812415,-7.103017847,1.22E-12,3.55E-11
WBGene00007006,npr-3,72.79996133,110.4820049,34.64258527,-1.548727023,0.218141874,-7.099631971,1.25E-12,3.63E-11
WBGene00006746,unc-6,724.7682039,974.6593613,476.2921974,-1.002726172,0.141318024,-7.095529222,1.29E-12,3.73E-11
WBGene00000725,col-152,23.81931586,0.82948111,46.59283825,2.896810427,0.408299437,7.094818572,1.30E-12,3.75E-11
WBGene00002254,lbp-2,4321.841782,3376.678075,5266.763083,0.633913506,0.089372893,7.092905774,1.31E-12,3.79E-11
WBGene00045250,Y73B6BL.47,61.19769902,100.4843484,22.2905939,-1.910063996,0.270029028,-7.073550618,1.51E-12,4.35E-11
WBGene00006432,atrn-1,3266.849588,4273.477185,2261.543531,-0.896524516,0.126801515,-7.070298157,1.55E-12,4.45E-11
WBGene00006647,tsr-1,598.7738479,760.7537884,437.8543783,-0.782781468,0.11073276,-7.069104646,1.56E-12,4.48E-11
WBGene00022073,Y67D8C.9,664.3466463,978.6427244,350.7766995,-1.39264153,0.1974204,-7.054192612,1.74E-12,4.98E-11
WBGene00008429,etc-1,1024.954953,1232.19425,816.8613941,-0.587130215,0.083289138,-7.049301154,1.80E-12,5.15E-11
WBGene00010646,K08C7.1,169.2777436,227.8677956,110.7950701,-1.008857204,0.143125056,-7.048781179,1.80E-12,5.16E-11
WBGene00009374,F34D10.4,490.5745776,135.8247075,846.0352831,2.194816472,0.312078832,7.032891202,2.02E-12,5.78E-11
WBGene00013096,mcd-1,548.486944,691.2094543,405.8063598,-0.755434215,0.107488573,-7.028042113,2.09E-12,5.98E-11
WBGene00012456,Y17D7C.2,94.02971704,26.5808818,162.0308756,2.174597381,0.309556547,7.024879307,2.14E-12,6.10E-11
WBGene00008258,mans-2,2418.445233,3338.933717,1496.76438,-1.1143153,0.158640587,-7.024150135,2.15E-12,6.13E-11
WBGene00020051,mfsd-6,646.6857435,866.6088118,425.8898772,-0.994634824,0.14160724,-7.023898101,2.16E-12,6.13E-11
WBGene00001404,fbp-1,5469.964626,4632.873991,6306.370409,0.442365342,0.063021294,7.019299521,2.23E-12,6.32E-11
WBGene00018612,disl-2,711.0673867,860.1670764,562.7366357,-0.605575544,0.08631922,-7.015535441,2.29E-12,6.49E-11
WBGene00001115,dyb-1,306.0318735,401.7055888,211.6352636,-0.902170926,0.128681325,-7.010892443,2.37E-12,6.70E-11
WBGene00004207,ptb-1,607.2617086,839.2149005,376.7067196,-1.112464566,0.158684321,-7.010551241,2.37E-12,6.70E-11
WBGene00012762,Y41E3.1,1381.883296,1656.025542,1106.476795,-0.576085202,0.082176597,-7.010331677,2.38E-12,6.70E-11
WBGene00007577,nrde-1,587.656725,471.4785328,703.2123026,0.571244634,0.081498532,7.009262853,2.40E-12,6.74E-11
WBGene00012500,hpo-2,22.27755358,2.78927736,41.81593995,2.645576428,0.377498306,7.008180919,2.41E-12,6.79E-11
WBGene00012009,T25B9.3,28.26015843,50.88181085,5.79948534,-2.401616799,0.342814909,-7.005578619,2.46E-12,6.90E-11
WBGene00044774,F16B3.3,131.8934284,199.9883957,63.10686345,-1.538736828,0.21984414,-6.99921693,2.57E-12,7.21E-11
WBGene00011813,T16H12.3,593.596007,447.3508537,738.6233121,0.712545393,0.101850252,6.99601011,2.63E-12,7.36E-11
WBGene00018181,mpdu-1,1357.236169,1577.161015,1137.243038,-0.468745876,0.067000645,-6.99613971,2.63E-12,7.36E-11
WBGene00017347,F10E7.5,3205.262901,2646.479486,3763.639754,0.504255406,0.07209721,6.994104318,2.67E-12,7.44E-11
WBGene00020324,T07F12.4,134.9246263,214.2464213,55.16933679,-1.758725345,0.251459255,-6.994076818,2.67E-12,7.44E-11
WBGene00010556,rack-1,81996.56369,61121.54891,102871.0143,0.738916437,0.105658221,6.99345898,2.68E-12,7.46E-11
WBGene00021314,Y32H12A.6,252.9221352,175.6598175,330.7676838,0.891340865,0.127467283,6.992703116,2.70E-12,7.49E-11
WBGene00009738,hecw-1,175.9330104,253.30505,97.71410823,-1.301995799,0.186214966,-6.991896652,2.71E-12,7.52E-11
WBGene00017980,F32B5.7,1025.690767,1230.622462,821.7539321,-0.576878891,0.082613823,-6.982837344,2.89E-12,8.01E-11
WBGene00022635,ZC581.9,391.3574634,485.7691153,297.2522714,-0.698292151,0.100118496,-6.974656792,3.07E-12,8.48E-11
WBGene00018283,sulp-3,155.9416908,218.350874,93.37989338,-1.173487906,0.1683263,-6.971506554,3.14E-12,8.66E-11
WBGene00013518,Y73F8A.5,266.2652607,370.2217673,163.269375,-1.134622396,0.162776817,-6.970417648,3.16E-12,8.71E-11
WBGene00017741,F23C8.13,103.7490771,149.5798414,58.38062144,-1.287294186,0.184732127,-6.968436991,3.20E-12,8.82E-11
WBGene00009690,F44E5.3,14.30242412,1.100568237,27.61717593,2.74286603,0.393762387,6.965789828,3.27E-12,8.98E-11
WBGene00016044,C24B5.1,114.5521941,167.1762323,62.05111455,-1.348262478,0.193572596,-6.965151591,3.28E-12,9.01E-11
WBGene00006932,vps-34,1688.584487,1418.770703,1958.918191,0.462466766,0.066414858,6.963302792,3.32E-12,9.11E-11
WBGene00003006,lin-17,500.4414899,635.0692879,364.6056712,-0.785722266,0.112845853,-6.96279256,3.34E-12,9.13E-11
WBGene00002219,klp-7,755.4371951,977.3373231,533.9214552,-0.853103642,0.122548878,-6.96133378,3.37E-12,9.21E-11
WBGene00008919,vps-36,758.2859239,959.7951174,555.039017,-0.775838651,0.111491632,-6.958716417,3.43E-12,9.37E-11
WBGene00004474,rps-5,45389.92767,36526.90925,54251.49539,0.565264541,0.081313311,6.951685209,3.61E-12,9.84E-11
WBGene00010099,fbxb-117,13.54641002,0.298570488,27.06223345,2.848811697,0.409930762,6.949494794,3.67E-12,9.96E-11
WBGene00012344,ola-1,11128.33106,9105.935463,13151.51082,0.525976615,0.075684758,6.949571206,3.66E-12,9.96E-11
WBGene00011488,nra-2,5387.841698,6376.342595,4401.413012,-0.530277717,0.076330349,-6.947141265,3.73E-12,1.01E-10
WBGene00022087,Y69A2AR.16,1208.151577,1453.190737,964.1415969,-0.585828985,0.084389694,-6.941949407,3.87E-12,1.05E-10
WBGene00004882,smg-4,925.6246316,652.6266868,1197.639768,0.856372181,0.123428781,6.938188734,3.97E-12,1.07E-10
WBGene00000048,acr-9,58.99420425,96.44728839,21.60492701,-1.891250545,0.272616207,-6.937410519,3.99E-12,1.08E-10
WBGene00012158,ucr-2.1,6719.545287,5754.035747,7685.994515,0.415507623,0.059898862,6.936819993,4.01E-12,1.08E-10
WBGene00004440,rpl-26,29169.78737,23514.27538,34824.94897,0.561236296,0.080929886,6.934845997,4.07E-12,1.10E-10
WBGene00001579,gex-2,1154.674043,1379.335185,931.0010558,-0.56174311,0.081107556,-6.925903535,4.33E-12,1.17E-10
WBGene00017292,F09E5.16,133.7074032,187.7985243,79.8011618,-1.180893924,0.170610191,-6.921590778,4.47E-12,1.20E-10
WBGene00017742,nfyc-1,202.2550867,274.5937153,129.1693403,-1.050795731,0.151850004,-6.919958526,4.52E-12,1.21E-10
WBGene00002020,hsp-16.49,11.89957377,0.298570391,23.60686614,2.821724761,0.407994559,6.916084299,4.64E-12,1.24E-10
WBGene00206414,F31D5.7,10.89331605,0.153291443,21.94469105,2.848338061,0.412436586,6.90612365,4.98E-12,1.33E-10
WBGene00007579,C14B1.8,204.0395697,265.8963371,142.5765302,-0.877835668,0.127203326,-6.901043366,5.16E-12,1.38E-10
WBGene00006308,sul-1,118.5117231,169.1164778,68.036145,-1.248668628,0.18102115,-6.897915687,5.28E-12,1.41E-10
WBGene00006681,twk-29,222.4590145,318.7800409,125.5430171,-1.274893946,0.184929834,-6.893933333,5.43E-12,1.45E-10
WBGene00020725,cnp-3,443.8979539,159.3615173,728.91629,1.915514238,0.277873559,6.893474302,5.44E-12,1.45E-10
WBGene00009638,nspc-14,1152.72727,926.765932,1376.90701,0.565590654,0.082175986,6.882675587,5.87E-12,1.56E-10
WBGene00020368,ast-1,188.886537,255.6931512,121.8547903,-1.033487377,0.150251438,-6.878385952,6.05E-12,1.61E-10
WBGene00017782,F25E5.1,605.2575266,768.3084122,443.7691257,-0.777181014,0.1130056,-6.877367274,6.10E-12,1.62E-10
WBGene00020322,T07F12.2,239.1479472,305.4291486,173.0440965,-0.803383348,0.116857093,-6.874921572,6.20E-12,1.64E-10
WBGene00006743,unc-3,149.8936703,227.6828518,71.65770977,-1.537707845,0.223699136,-6.87399992,6.24E-12,1.65E-10
WBGene00008338,pafo-1,834.9120661,985.8418835,682.8714446,-0.5252854,0.076417977,-6.873845963,6.25E-12,1.65E-10
WBGene00002030,hst-3.1,77.07902324,114.3439088,39.47077917,-1.431491966,0.208259548,-6.873595845,6.26E-12,1.65E-10
WBGene00012271,W05B2.2,118.13901,188.1104756,48.8082043,-1.744990745,0.253981473,-6.870543449,6.40E-12,1.68E-10
WBGene00008315,C54G4.5,44.17083895,72.90323297,15.88497553,-1.911969961,0.278327342,-6.869501029,6.44E-12,1.69E-10
WBGene00015810,C16A3.5,7175.342079,5537.302782,8812.701761,0.661405245,0.096295471,6.868497941,6.49E-12,1.70E-10
WBGene00011643,slc-17.9,101.4231941,161.0780282,41.46071417,-1.751700982,0.255128837,-6.865946654,6.61E-12,1.73E-10
