Gene,Name,baseMean,baseMean_N2_OP50,baseMean_N2_S-macescens_Db10,log2FoldChange,lfcSE,stat,pvalue,padj
WBGene00044290,B0035.18,585.2655137,910.8310379,363.5792396,-1.311900835,0.178186097,-7.362531968,1.80E-13,2.73E-12
WBGene00020700,T22F3.11,444.727857,1110.39663,1.159537992,-6.160751072,0.837646426,-7.354834789,1.91E-13,2.89E-12
WBGene00017012,acs-22,677.6474693,379.9401015,878.7050656,1.199726719,0.163135561,7.354170428,1.92E-13,2.90E-12
WBGene00001250,elt-2,324.6683386,158.9632468,433.9743976,1.431958061,0.194893642,7.34738213,2.02E-13,3.05E-12
WBGene00012211,ssp-37,697.3353412,1098.739922,419.3606872,-1.374453896,0.187160687,-7.343710487,2.08E-13,3.13E-12
WBGene00011893,T21C9.6,286.0288002,116.4144484,408.505977,1.778949161,0.242248965,7.343474751,2.08E-13,3.13E-12
WBGene00014251,gstk-1,280.4551713,133.9235866,381.7627361,1.492093236,0.203383267,7.33636183,2.19E-13,3.30E-12
WBGene00017813,nlp-61,88.55571214,165.7708564,32.65754801,-2.271465266,0.309619132,-7.336320753,2.20E-13,3.30E-12
WBGene00007760,C27B7.2,313.4371038,508.5240329,184.6659027,-1.443937075,0.196870797,-7.334440119,2.23E-13,3.34E-12
WBGene00009798,F46G10.4,109.7814932,33.7216584,165.3059059,2.227164405,0.303803462,7.330938204,2.29E-13,3.43E-12
WBGene00022891,ZK1290.10,102.9856466,32.10072423,148.3481979,2.146925548,0.293413898,7.31705472,2.53E-13,3.80E-12
WBGene00020191,clec-53,96.26576365,26.92444261,139.9210939,2.300305447,0.31440741,7.316320709,2.55E-13,3.81E-12
WBGene00021448,Y39D8A.1,64.55787121,13.4333325,97.55438399,2.73153982,0.373626828,7.310877096,2.65E-13,3.97E-12
WBGene00011026,R05D7.1,319.3773214,568.1937704,143.2725819,-1.943039984,0.265826139,-7.309439128,2.68E-13,4.01E-12
WBGene00021389,Y38A10A.2,78.65366255,21.33447704,118.378949,2.388389931,0.326914227,7.305861097,2.75E-13,4.11E-12
WBGene00016677,C45G9.6,315.5543078,155.9402057,424.9615749,1.429199552,0.195796864,7.299399608,2.89E-13,4.31E-12
WBGene00010859,M04C9.4,96.79555582,29.26357649,140.2617428,2.196095548,0.300989646,7.29624949,2.96E-13,4.41E-12
WBGene00011799,T16G1.5,45.88907203,7.211796144,72.01424567,3.118706241,0.42762805,7.293034773,3.03E-13,4.51E-12
WBGene00004450,rpl-36,21168.24748,34252.83158,12433.05262,-1.444311278,0.198169704,-7.288254693,3.14E-13,4.67E-12
WBGene00004796,sid-2,311.5878376,150.3458859,417.056956,1.453676257,0.199487557,7.287052276,3.17E-13,4.71E-12
WBGene00007200,vamp-8,548.7022715,844.0979229,344.1285453,-1.281993986,0.176229639,-7.274565142,3.48E-13,5.16E-12
WBGene00020738,T23F2.5,2160.073226,3189.517945,1481.328152,-1.098702959,0.151060071,-7.273285084,3.51E-13,5.20E-12
WBGene00004446,rpl-32,15493.42898,24239.2974,9648.170711,-1.315586048,0.181063122,-7.265897298,3.71E-13,5.49E-12
WBGene00010184,F57A10.2,46.76394657,97.53255492,10.55460829,-3.024624592,0.416280146,-7.265839168,3.71E-13,5.49E-12
WBGene00012027,fbxa-127,40.34513016,4.977682642,65.7446417,3.433871233,0.472873481,7.26171242,3.82E-13,5.65E-12
WBGene00014814,R03D7.3,29.77246952,67.55252301,3.984743654,-3.712598116,0.511267857,-7.261551971,3.83E-13,5.65E-12
WBGene00001333,erm-1,2919.079493,1837.301538,3641.003024,0.981210602,0.135199839,7.257483493,3.94E-13,5.82E-12
WBGene00004979,sph-1,243.3033428,113.6240355,332.7327086,1.528860776,0.210674976,7.256964277,3.96E-13,5.84E-12
WBGene00001794,gta-1,2861.038472,1800.670796,3566.673516,0.980510186,0.135159326,7.254476746,4.03E-13,5.94E-12
WBGene00006754,unc-15,11115.14589,16841.28022,7283.516738,-1.199118583,0.165308245,-7.253834087,4.05E-13,5.96E-12
WBGene00023451,mlc-7,839.2890377,1284.716745,531.5770739,-1.261165689,0.173874801,-7.253297667,4.07E-13,5.98E-12
WBGene00022910,C05D2.11,120.2614532,213.2429187,56.00874548,-1.887712849,0.260359243,-7.250416115,4.15E-13,6.10E-12
WBGene00019620,fah-1,1076.802552,641.4116017,1364.921687,1.082011549,0.149389154,7.242905673,4.39E-13,6.44E-12
WBGene00002052,ifa-4,3030.257219,4380.577212,2122.614288,-1.038654252,0.143550472,-7.235463879,4.64E-13,6.80E-12
WBGene00004372,rig-5,44.94899566,94.7175432,11.60686565,-2.874112805,0.397242755,-7.235154744,4.65E-13,6.81E-12
WBGene00013548,lury-1,139.2192247,241.0463687,67.07073929,-1.809201503,0.250085681,-7.234326618,4.68E-13,6.84E-12
WBGene00194687,F57C12.6,70.38564992,139.1017818,25.92886984,-2.343502567,0.324157377,-7.229520998,4.85E-13,7.08E-12
WBGene00016630,acer-1,3546.169074,5026.677355,2563.150982,-0.966358652,0.13370595,-7.227491786,4.92E-13,7.18E-12
WBGene00011404,T03F7.7,260.5570312,123.612127,355.6809094,1.504329362,0.20836028,7.219847088,5.20E-13,7.59E-12
WBGene00001841,hen-1,52.08474968,9.572105667,81.74521738,2.930231226,0.40588215,7.219413873,5.22E-13,7.61E-12
WBGene00003530,nas-11,351.6713932,178.1891077,470.9059728,1.386171438,0.192054343,7.217600076,5.29E-13,7.70E-12
WBGene00001079,dpy-20,33.91593406,2.543674303,57.46685609,4.001105193,0.554748241,7.212470266,5.49E-13,7.99E-12
WBGene00044413,B0205.12,221.3006833,372.6613843,120.2063783,-1.607174689,0.222980158,-7.2077027,5.69E-13,8.27E-12
WBGene00045386,nlp-76,33.667596,76.60920967,4.916901952,-3.618189762,0.502367211,-7.202280888,5.92E-13,8.60E-12
WBGene00017594,F19C7.4,46.31214224,6.916288051,73.68973801,3.194193201,0.443559967,7.20126576,5.97E-13,8.65E-12
WBGene00013406,Y63D3A.7,758.4058466,1301.979484,383.2533756,-1.732263673,0.24079025,-7.194077317,6.29E-13,9.11E-12
WBGene00003123,mag-1,1760.654248,2536.951563,1239.230208,-1.027167496,0.142839259,-7.19107268,6.43E-13,9.31E-12
WBGene00021576,fbxc-51,121.4740303,218.5033338,56.41568025,-1.91031538,0.26618231,-7.176718026,7.14E-13,1.03E-11
WBGene00003567,ncx-2,546.6778583,826.3282854,356.8861724,-1.200767731,0.167452294,-7.170804886,7.46E-13,1.08E-11
WBGene00219959,F52D2.14,67.96340169,135.2560115,20.66826884,-2.595296277,0.361975915,-7.169803759,7.51E-13,1.08E-11
WBGene00045091,C27H5.11,50.1851036,103.8217424,9.845085226,-3.171740678,0.4425793,-7.166491247,7.69E-13,1.11E-11
WBGene00009562,flp-22,734.4501256,1097.525041,495.1044068,-1.139533696,0.159018325,-7.166052701,7.72E-13,1.11E-11
WBGene00019636,gsto-3,445.0963888,717.1140805,253.2628671,-1.481468936,0.206857455,-7.161786527,7.96E-13,1.15E-11
WBGene00012032,T26C5.2,76.97531677,20.91170582,117.3389877,2.399595112,0.335113493,7.160544598,8.04E-13,1.16E-11
WBGene00008110,C46C2.2,955.1949721,535.6470519,1243.851118,1.204943424,0.168308798,7.159123229,8.12E-13,1.17E-11
WBGene00019215,H20E11.3,54.73100506,10.7754297,83.69021392,2.804771517,0.392046585,7.154179186,8.42E-13,1.21E-11
WBGene00013173,Y53F4B.27,59.00976414,11.83201652,92.08184029,2.815208664,0.39370014,7.150641763,8.64E-13,1.24E-11
WBGene00003554,nas-38,57.62334354,12.51743574,87.59323381,2.677448968,0.374604148,7.147408768,8.84E-13,1.27E-11
WBGene00018657,acl-4,1017.18392,572.5929307,1323.332646,1.19815792,0.167809417,7.139992168,9.33E-13,1.34E-11
WBGene00008296,cdr-2,194.3933908,81.1170088,273.8738692,1.724204472,0.241543658,7.138272585,9.45E-13,1.35E-11
WBGene00000556,cnc-2,72.23609572,142.8283196,26.8231842,-2.332216373,0.326793183,-7.136673874,9.56E-13,1.37E-11
WBGene00010724,K09E9.1,244.0227211,105.267133,343.6950515,1.678166474,0.23515794,7.136337696,9.59E-13,1.37E-11
WBGene00077531,F40G9.15,34.64687973,76.39460763,4.865610584,-3.618318569,0.507171465,-7.134310221,9.73E-13,1.39E-11
WBGene00004130,ketn-1,848.5091119,1251.828526,573.6635823,-1.117235665,0.156656552,-7.131751898,9.91E-13,1.41E-11
WBGene00194926,K08D8.12,188.6209612,72.21986514,273.862032,1.88237986,0.264080017,7.128066254,1.02E-12,1.45E-11
WBGene00044025,T01G1.4,272.1625854,435.1142415,157.8128491,-1.444420418,0.202756853,-7.123904305,1.05E-12,1.49E-11
WBGene00010130,vha-14,2735.171258,1740.209235,3398.61772,0.960289769,0.13489168,7.118969575,1.09E-12,1.55E-11
WBGene00004173,pqn-94,117.3230685,208.3423499,56.93206004,-1.832977452,0.257551796,-7.116927482,1.10E-12,1.57E-11
WBGene00009595,cbp-3,1659.113244,1009.890463,2093.296648,1.044628499,0.146790018,7.116481862,1.11E-12,1.57E-11
WBGene00044947,F32E10.10,46.33073313,99.87686865,7.760667826,-3.401577878,0.478114833,-7.114562529,1.12E-12,1.59E-11
WBGene00044617,bus-1,30.26953953,2.243611134,49.75188143,3.947115189,0.555282578,7.108300067,1.17E-12,1.66E-11
WBGene00004131,pqn-44,1507.033434,879.6453214,1935.510847,1.12893012,0.158844728,7.107129916,1.18E-12,1.68E-11
WBGene00001066,dpy-4,1300.400349,182.3621657,2041.655472,3.241124429,0.456141329,7.105526778,1.20E-12,1.69E-11
WBGene00044339,nspc-4,389.2010757,603.0400585,249.288737,-1.262057689,0.177796003,-7.098346796,1.26E-12,1.78E-11
WBGene00009294,F31D4.9,1303.239031,1897.195532,908.3894576,-1.055270739,0.148703667,-7.096467502,1.28E-12,1.81E-11
WBGene00001065,dpy-3,225.1734016,73.64492378,316.0167978,2.043758041,0.288342062,7.087963609,1.36E-12,1.92E-11
WBGene00011774,ttr-54,274.2171263,436.086241,162.1603157,-1.409629408,0.198949736,-7.085354518,1.39E-12,1.95E-11
WBGene00008139,C47D12.5,283.587194,450.6370802,168.0950033,-1.405279563,0.198427137,-7.082093633,1.42E-12,2.00E-11
WBGene00014244,ZK1307.1,537.5343981,291.5196347,706.3962618,1.264330241,0.178526879,7.082016172,1.42E-12,2.00E-11
WBGene00020838,trak-1,936.370897,523.0633152,1220.812305,1.211842435,0.17116217,7.080083362,1.44E-12,2.02E-11
WBGene00016596,C42D4.3,202.307718,89.33791509,274.2907892,1.592645134,0.225059454,7.076552911,1.48E-12,2.07E-11
WBGene00000690,col-116,83.5407312,156.488449,34.02836879,-2.137933089,0.302209605,-7.074338654,1.50E-12,2.11E-11
WBGene00003081,lsm-7,945.0814149,1388.663252,643.2834984,-1.101823273,0.156127595,-7.057197509,1.70E-12,2.38E-11
WBGene00006721,ubh-1,221.3465041,361.9566636,121.9153934,-1.546326338,0.219159144,-7.055723565,1.72E-12,2.40E-11
WBGene00000981,dhs-18,465.1609853,240.0788486,623.4659335,1.361068108,0.192943439,7.05423371,1.74E-12,2.43E-11
WBGene00012768,eef-1B.2,5044.257441,7566.478106,3351.063708,-1.165101304,0.165373148,-7.045287072,1.85E-12,2.59E-11
WBGene00010305,F59A2.5,409.7550154,643.6582385,244.4459857,-1.38000853,0.196112683,-7.036814279,1.97E-12,2.75E-11
WBGene00003904,pabp-2,1708.402176,1019.438367,2176.700442,1.086376938,0.154438616,7.034360738,2.00E-12,2.79E-11
WBGene00001817,haf-7,229.2729604,108.9116242,311.2462629,1.493618706,0.212852247,7.017162019,2.26E-12,3.15E-11
WBGene00002255,lbp-3,1659.098873,2424.390067,1138.447951,-1.082534955,0.154387867,-7.011787741,2.35E-12,3.27E-11
WBGene00219298,F55H2.8,20.98886938,49.86566841,0.879564351,-4.708597882,0.671523131,-7.01181786,2.35E-12,3.27E-11
WBGene00020507,vha-15,3123.778185,1995.038746,3875.802822,0.952637143,0.13601098,7.004119391,2.49E-12,3.45E-11
WBGene00006709,ubc-14,634.3958336,973.9362122,398.3706315,-1.27639782,0.182322366,-7.000774769,2.55E-12,3.53E-11
WBGene00020579,T19D12.4,2115.16012,1194.793804,2741.437903,1.18759231,0.169679482,6.999033097,2.58E-12,3.57E-11
WBGene00045167,F43A11.8,119.014997,221.6173088,42.24863648,-2.3057113,0.32980603,-6.991113235,2.73E-12,3.78E-11
WBGene00013008,clec-146,209.0027244,342.4950195,118.8141452,-1.505396908,0.215381025,-6.989459316,2.76E-12,3.82E-11
WBGene00000726,col-153,152.8082992,64.08873418,211.486688,1.690788305,0.242453538,6.973659028,3.09E-12,4.27E-11
WBGene00021469,Y39G10AR.11,911.0863336,1341.287878,615.9450782,-1.113879534,0.159855084,-6.968058236,3.21E-12,4.44E-11
WBGene00022111,Y71F9AL.6,43.24744639,89.40451902,8.277218244,-3.184161726,0.457847955,-6.954626948,3.53E-12,4.88E-11
WBGene00016259,C30F8.3,40.86826202,5.908557537,63.09834816,3.168000935,0.45587823,6.949226192,3.67E-12,5.07E-11
WBGene00002111,ins-28,37.03212016,78.12505738,7.836822929,-3.09634899,0.445709852,-6.947005937,3.73E-12,5.14E-11
WBGene00014090,ZK822.2,534.5909126,817.1827183,351.365995,-1.206416228,0.173700723,-6.9453725,3.77E-12,5.20E-11
WBGene00015841,skpo-2,71.63280702,18.43824744,104.0250846,2.398241509,0.345473057,6.941906069,3.87E-12,5.32E-11
WBGene00017417,F13B6.2,95.66005401,29.4987894,145.0495864,2.2246358,0.320560863,6.939823457,3.93E-12,5.40E-11
WBGene00175027,W02F12.8,91.37796872,167.4484799,39.41404527,-2.030519991,0.292636751,-6.938704662,3.96E-12,5.44E-11
WBGene00006950,wrt-4,56.57698562,12.64078878,86.68867792,2.648617876,0.381904267,6.935292697,4.05E-12,5.56E-11
WBGene00014871,Y37H9A.5,74.29298793,139.1710109,26.44148399,-2.309646246,0.33318984,-6.931922786,4.15E-12,5.69E-11
WBGene00019830,hrg-1,92.6420637,174.0004365,41.52455365,-2.013084911,0.290469131,-6.930460749,4.19E-12,5.75E-11
WBGene00011543,acl-2,548.1339961,304.9535537,710.7262095,1.209168617,0.174529523,6.928160882,4.26E-12,5.84E-11
WBGene00017075,nap-1,5173.268925,7179.053476,3835.492322,-0.899699963,0.129891565,-6.926546465,4.31E-12,5.90E-11
WBGene00045507,F10A3.17,231.2052582,105.1330254,317.2529277,1.568162461,0.226501387,6.923412184,4.41E-12,6.02E-11
WBGene00018907,F55G1.15,89.66043741,25.93667187,136.4139136,2.312973629,0.334159028,6.921775067,4.46E-12,6.09E-11
WBGene00000641,col-65,194.412089,65.98420585,271.0942527,1.984240942,0.286689768,6.921212985,4.48E-12,6.11E-11
WBGene00019727,zig-12,752.9073496,447.1810412,958.8588279,1.092035455,0.157827708,6.919161853,4.54E-12,6.19E-11
WBGene00020758,T24C4.2,164.6700153,277.1644276,91.40779401,-1.57474884,0.227605573,-6.918762208,4.56E-12,6.20E-11
WBGene00016033,C24A3.2,453.5544749,687.8942043,294.3872703,-1.212839563,0.175356989,-6.91640275,4.63E-12,6.30E-11
WBGene00021186,Y9D1A.1,41.32938103,86.40965969,10.02349854,-2.923622396,0.422794021,-6.91500412,4.68E-12,6.36E-11
WBGene00009493,hrg-4,46.36907416,6.309155859,76.05955366,3.323300123,0.481026964,6.908760565,4.89E-12,6.63E-11
WBGene00011641,T09A5.15,425.0210626,662.1304645,261.6108358,-1.324411229,0.191698305,-6.908831192,4.89E-12,6.63E-11
WBGene00010833,M03B6.1,81.79350067,23.65837806,120.9245046,2.274024892,0.329170296,6.908353872,4.90E-12,6.65E-11
WBGene00001776,gst-28,279.3532022,132.1001791,373.2058172,1.477050898,0.213819566,6.907931412,4.92E-12,6.66E-11
WBGene00006965,xtr-1,123.3739856,43.23299468,172.6199126,1.947234348,0.281903278,6.907455504,4.93E-12,6.68E-11
WBGene00219849,C36C9.10,76.44393138,148.9493239,21.45791966,-2.655900644,0.384772397,-6.902523836,5.11E-12,6.91E-11
WBGene00044761,pals-19,77.57554638,149.0678482,31.78367445,-2.161158989,0.313140473,-6.901563921,5.14E-12,6.95E-11
WBGene00001508,fut-8,193.8183544,85.73671052,264.2587043,1.596745596,0.231381674,6.900916434,5.17E-12,6.97E-11
WBGene00017335,F10D2.10,77.9607702,18.99257245,113.5228304,2.472637101,0.358487492,6.897415269,5.30E-12,7.14E-11
WBGene00017291,F09E5.14,419.0247144,637.4432792,269.5802394,-1.229375115,0.17826603,-6.896294915,5.34E-12,7.19E-11
WBGene00022793,ZK686.3,2145.377455,1296.892861,2720.95783,1.061281388,0.153931298,6.894513336,5.40E-12,7.28E-11
WBGene00010196,F57C2.4,2902.905905,4221.780854,2030.808051,-1.048303997,0.15207332,-6.893411655,5.45E-12,7.33E-11
WBGene00008398,D2005.3,1126.187358,1700.596751,731.1068816,-1.206328749,0.175018248,-6.892588409,5.48E-12,7.36E-11
WBGene00000393,cdf-1,509.9600562,274.3669435,673.1938623,1.281130411,0.185915067,6.890944522,5.54E-12,7.44E-11
WBGene00001244,elo-6,4543.467301,2623.656141,5836.459035,1.143732505,0.166119889,6.884982367,5.78E-12,7.75E-11
WBGene00020658,argn-1,646.9145257,376.5561202,827.7206351,1.126913913,0.163726527,6.88290367,5.86E-12,7.86E-11
WBGene00015449,ugt-63,62.07405522,14.42870866,93.67148963,2.574290248,0.374026997,6.882632183,5.88E-12,7.87E-11
WBGene00004859,sma-5,391.9616443,210.678702,514.4186505,1.274280205,0.185167801,6.881759111,5.91E-12,7.91E-11
WBGene00020995,W03F8.6,47.15116789,98.77059805,13.8012687,-2.700015948,0.392346225,-6.881717658,5.91E-12,7.91E-11
WBGene00044900,cnc-11,17.31456415,42.62083532,0.384431201,-5.024456648,0.730201898,-6.88091425,5.95E-12,7.94E-11
WBGene00219917,F26D10.24,138.1868362,238.2590744,66.29152191,-1.805375414,0.262376155,-6.880866943,5.95E-12,7.94E-11
WBGene00002002,hsb-1,1084.620055,1560.492156,764.1868791,-1.022993138,0.148726322,-6.878359686,6.05E-12,8.07E-11
WBGene00043062,clec-80,133.5554548,48.95207656,192.8855159,1.930807725,0.280822542,6.875543936,6.18E-12,8.23E-11
WBGene00007903,lgc-21,81.97306904,21.72264803,119.0146253,2.356437879,0.342753252,6.87502706,6.20E-12,8.25E-11
WBGene00021366,Y37E11AM.2,544.2414033,859.5752568,323.3231933,-1.392583039,0.202563556,-6.874795589,6.21E-12,8.26E-11
WBGene00009119,ndk-1,19336.66178,29257.43765,12708.62256,-1.191843066,0.173470193,-6.870592829,6.39E-12,8.50E-11
WBGene00045120,Y43F8C.22,57.29091398,111.6297073,19.0452791,-2.446830672,0.356297085,-6.867388969,6.54E-12,8.68E-11
WBGene00021002,W03F9.4,40.99660348,88.2853946,9.792081099,-2.977770815,0.433947615,-6.86205134,6.79E-12,9.00E-11
WBGene00013575,acs-5,764.8216216,449.583986,972.4222482,1.104063533,0.16094482,6.859888579,6.89E-12,9.13E-11
WBGene00011052,arrd-11,19.914661,47.26645617,0.870512372,-4.643358863,0.6775829,-6.852827695,7.24E-12,9.59E-11
WBGene00002054,ifb-2,2167.858483,1374.127966,2691.958285,0.964222542,0.140776521,6.849313631,7.42E-12,9.82E-11
WBGene00001236,elc-1,624.1350276,950.6281145,398.4171937,-1.241785518,0.181459016,-6.843338756,7.74E-12,1.02E-10
WBGene00020588,T19H12.2,2183.196077,3517.867665,1278.581106,-1.440053778,0.210592952,-6.838091035,8.03E-12,1.06E-10
WBGene00006917,vha-8,3395.953514,2195.882291,4192.858453,0.927847764,0.135713563,6.836809426,8.10E-12,1.07E-10
WBGene00009212,atz-1,133.9723648,236.4175271,65.59525246,-1.809287672,0.26470739,-6.835047841,8.20E-12,1.08E-10
WBGene00007957,C35C5.8,58.88446661,124.0876853,19.51778118,-2.552108802,0.373444798,-6.833965328,8.26E-12,1.09E-10
WBGene00020846,T27A10.6,216.1822988,97.74491667,300.2606914,1.592397199,0.233049349,6.832875557,8.32E-12,1.10E-10
WBGene00004493,rps-24,17157.29432,24892.20161,11988.36535,-1.046438329,0.153330534,-6.824722397,8.81E-12,1.16E-10
WBGene00044894,Y71F9AR.4,152.5931628,263.9076007,71.46955899,-1.840900958,0.269749115,-6.824493031,8.82E-12,1.16E-10
WBGene00044457,C18H7.11,105.987719,38.16425213,153.5315172,1.956088484,0.287059202,6.814233683,9.48E-12,1.24E-10
WBGene00012457,acbp-6,72.27351725,135.9743876,24.54592071,-2.371649761,0.348327772,-6.808672603,9.85E-12,1.29E-10
WBGene00001072,dpy-10,300.0151982,150.2742612,394.8195618,1.375729641,0.202138525,6.805875532,1.00E-11,1.32E-10
WBGene00007136,B0285.3,338.9336761,526.00312,208.011441,-1.322657334,0.194451797,-6.801980519,1.03E-11,1.35E-10
WBGene00000281,cah-3,706.7489656,410.0113131,898.8822405,1.122918857,0.165158838,6.799023731,1.05E-11,1.38E-10
WBGene00022492,dss-1,963.8070032,1474.604033,610.5496901,-1.258608726,0.185119451,-6.798900501,1.05E-11,1.38E-10
WBGene00195185,F19G12.9,55.60836721,109.053909,16.71501229,-2.577961835,0.37935027,-6.795729531,1.08E-11,1.41E-10
WBGene00016133,C26B9.3,142.5017699,59.39847281,196.7258547,1.694104632,0.249309025,6.795199771,1.08E-11,1.41E-10
WBGene00010579,K05C4.2,898.902365,1358.762673,580.3558368,-1.215067238,0.179102005,-6.784219075,1.17E-11,1.52E-10
WBGene00220233,ZC395.12,78.07617143,151.2695514,24.67202071,-2.499972606,0.369230623,-6.770761814,1.28E-11,1.67E-10
WBGene00020921,W01C8.5,470.875112,264.9308354,610.5888178,1.193026597,0.17626822,6.768245579,1.30E-11,1.70E-10
WBGene00002011,hsp-12.2,60.66736425,115.7803581,20.22330591,-2.412879953,0.356662328,-6.76516628,1.33E-11,1.73E-10
WBGene00013457,paqr-3,52.19880764,11.4452906,79.14536971,2.647254556,0.391576471,6.760504658,1.38E-11,1.79E-10
WBGene00018117,nlp-47,420.1524526,638.5522455,269.3028422,-1.232730594,0.182370704,-6.75947709,1.38E-11,1.80E-10
WBGene00044942,F54E7.11,68.66976505,133.8345378,19.44759176,-2.641050563,0.390848436,-6.757224336,1.41E-11,1.83E-10
WBGene00001377,eya-1,76.57660675,141.67585,28.86768968,-2.215432043,0.327871036,-6.757022728,1.41E-11,1.83E-10
WBGene00020369,exc-15,1959.147881,1253.322337,2426.419534,0.947306686,0.140241204,6.754838499,1.43E-11,1.85E-10
WBGene00019967,cyp-33C8,142.8196867,58.4694111,203.9771982,1.764875214,0.261328976,6.753461627,1.44E-11,1.87E-10
WBGene00015471,lmp-2,164.6835948,71.53498077,231.706262,1.663831427,0.246455317,6.751046988,1.47E-11,1.90E-10
WBGene00001786,gst-38,51.2772306,11.30535163,77.35206957,2.635460089,0.390778473,6.744128116,1.54E-11,1.99E-10
WBGene00004230,ptr-16,51.05579239,9.794075971,75.67200154,2.780874005,0.412385915,6.743377757,1.55E-11,2.00E-10
WBGene00044344,mrpl-39,265.7102822,415.6572752,162.9768279,-1.334312422,0.197924931,-6.74150757,1.57E-11,2.02E-10
WBGene00009291,clec-264,125.9546818,216.9967918,66.07633885,-1.682269542,0.249684367,-6.737584584,1.61E-11,2.08E-10
WBGene00219709,linc-37,30.22960015,65.3807939,5.23077414,-3.335463598,0.495099979,-6.736949578,1.62E-11,2.08E-10
WBGene00009734,F45G2.8,569.886452,927.796215,318.0590821,-1.519813639,0.225756328,-6.732097619,1.67E-11,2.15E-10
WBGene00004933,sod-4,245.3062605,387.7913932,149.4053412,-1.358630335,0.202249279,-6.717602872,1.85E-11,2.38E-10
WBGene00003096,lys-7,6880.932672,4532.271034,8452.67144,0.894281257,0.133134827,6.717109829,1.85E-11,2.38E-10
WBGene00220238,ZK185.9,3781.990725,6235.964472,2131.074894,-1.52425933,0.226919881,-6.71716962,1.85E-11,2.38E-10
WBGene00019495,sdz-24,557.5842606,298.6676442,740.0496921,1.29412322,0.193072165,6.702795412,2.04E-11,2.62E-10
WBGene00000602,col-13,56.22411993,12.92847633,85.06884956,2.583089389,0.385565065,6.699490231,2.09E-11,2.68E-10
WBGene00003371,mlc-3,6511.715401,10618.02464,3758.898746,-1.475591778,0.220317342,-6.697574354,2.12E-11,2.71E-10
WBGene00008857,timm-23,605.6063466,952.6172324,362.5002414,-1.375548382,0.205405169,-6.696756425,2.13E-11,2.72E-10
WBGene00018269,acs-11,813.4011196,1188.295462,568.7232818,-1.055005159,0.157538054,-6.69682743,2.13E-11,2.72E-10
WBGene00012483,coa-5,470.8737353,723.8900348,296.2249265,-1.274533703,0.190609981,-6.686605257,2.28E-11,2.92E-10
WBGene00001819,haf-9,385.8125782,205.8403159,512.5415016,1.300837267,0.194655172,6.682777819,2.34E-11,2.99E-10
WBGene00017818,F26D11.1,639.3902799,955.0370826,424.2592725,-1.15971446,0.173551579,-6.682246651,2.35E-11,3.00E-10
WBGene00044449,fipr-20,32.28255151,70.43535006,7.082218021,-3.080440154,0.461089673,-6.680783233,2.38E-11,3.03E-10
WBGene00013894,ZC434.8,1011.499173,1499.543715,674.9175726,-1.141292495,0.171136336,-6.668908096,2.58E-11,3.28E-10
WBGene00044932,Y37E3.22,49.43214249,100.0881141,10.61398655,-3.00799005,0.451056492,-6.66876567,2.58E-11,3.28E-10
WBGene00022816,fbn-1,454.8934522,253.9197464,593.0243511,1.21137121,0.181660015,6.668342566,2.59E-11,3.29E-10
WBGene00011530,T06D8.10,103.2924201,37.92428433,147.2807457,1.906488617,0.28596634,6.666828749,2.61E-11,3.32E-10
WBGene00010134,F55H12.3,367.7920302,192.5765676,492.0093255,1.336636855,0.200564657,6.664368853,2.66E-11,3.37E-10
WBGene00021269,Y23H5A.2,154.2483274,264.1359686,72.93620258,-1.812616874,0.272112334,-6.661281571,2.71E-11,3.44E-10
WBGene00008577,F08G2.5,126.3160255,218.607864,67.03195189,-1.672182644,0.251103384,-6.659339345,2.75E-11,3.48E-10
WBGene00022440,Y110A2AL.3,29.79813564,65.25148694,5.361323323,-3.3034481,0.49622822,-6.657114546,2.79E-11,3.54E-10
WBGene00017453,F14D2.5,32.29769781,69.93489499,5.647949506,-3.321082536,0.498895592,-6.656868872,2.80E-11,3.54E-10
WBGene00013587,Y80D3A.9,175.2467565,75.21062376,237.2133076,1.62613563,0.244305275,6.656162594,2.81E-11,3.55E-10
WBGene00013516,Y73F4A.3,49.10582066,98.99444327,16.38149567,-2.480266885,0.372825709,-6.652617629,2.88E-11,3.64E-10
WBGene00000792,crb-1,127.9209533,221.1503792,67.48340376,-1.678654005,0.25236048,-6.65181015,2.90E-11,3.65E-10
WBGene00011587,anp-1,857.2598776,437.6498678,1150.199763,1.37578138,0.20693638,6.648330194,2.96E-11,3.74E-10
WBGene00017307,F09F9.2,90.69027285,27.97551423,135.9761249,2.20451647,0.331630893,6.647500337,2.98E-11,3.75E-10
WBGene00017577,F18F11.4,26.52157409,1.772176881,42.04559007,3.929755857,0.591166478,6.647460581,2.98E-11,3.75E-10
WBGene00012151,VH15N14R.1,51.05346384,99.63181544,14.95482912,-2.597392128,0.391137644,-6.64060892,3.12E-11,3.93E-10
WBGene00000597,col-8,3022.85521,1749.507254,3858.302569,1.130769469,0.170388079,6.636435358,3.21E-11,4.04E-10
WBGene00219979,F56A12.11,24.13852588,53.87572175,2.69323494,-3.792940308,0.571988818,-6.631144158,3.33E-11,4.18E-10
WBGene00003762,nlp-24,1607.873383,2264.900765,1170.511324,-0.946353882,0.142716822,-6.630990439,3.33E-11,4.18E-10
WBGene00017905,F28F5.6,219.2298567,101.2154455,298.5097427,1.534718498,0.23153306,6.628506953,3.39E-11,4.25E-10
