Gene,Name,baseMean,baseMean_N2_OP50,baseMean_N2_PA14,log2FoldChange,lfcSE,stat,pvalue,padj
WBGene00000878,cyn-2,970.5562355,1335.898332,605.0859993,-1.082833941,0.183267597,-5.908485494,3.45E-09,9.59E-08
WBGene00001944,his-70,383.4695618,513.2963629,253.7812405,-0.973649483,0.164894263,-5.904689876,3.53E-09,9.79E-08
WBGene00003530,nas-11,3193.123623,2399.686132,3986.747647,0.716073694,0.121422682,5.897363512,3.69E-09,1.02E-07
WBGene00007404,best-5,217.4579267,107.7627619,327.3337794,1.444257242,0.245445901,5.884218222,4.00E-09,1.11E-07
WBGene00011102,R07E3.1,6904.87172,8957.87526,4852.149603,-0.855951595,0.145580921,-5.87955887,4.11E-09,1.13E-07
WBGene00008375,D1054.8,521.9123869,682.5433778,360.9996911,-0.886717508,0.151376928,-5.857679365,4.69E-09,1.29E-07
WBGene00012027,fbxa-127,29.97486951,7.294012397,52.74913365,2.089658776,0.356826845,5.856226368,4.74E-09,1.30E-07
WBGene00012966,exos-1,368.7829188,488.6338056,249.2360478,-0.93327418,0.159557957,-5.849123394,4.94E-09,1.36E-07
WBGene00004467,rpn-11,3092.559661,3798.378965,2387.159995,-0.65735471,0.112413073,-5.847671399,4.99E-09,1.37E-07
WBGene00014001,pyk-2,2142.896899,2678.867613,1606.844949,-0.720485899,0.123223707,-5.84697473,5.01E-09,1.37E-07
WBGene00011839,T19C4.5,445.0903109,266.7626584,623.1647037,1.149365685,0.196919249,5.836736064,5.32E-09,1.45E-07
WBGene00022127,yop-1,2782.77725,3435.399146,2130.468243,-0.675393192,0.115786352,-5.833098463,5.44E-09,1.48E-07
WBGene00012258,W04G3.5,1803.90242,2240.167268,1367.683504,-0.696516155,0.119607771,-5.823335277,5.77E-09,1.57E-07
WBGene00001520,gas-1,6957.172061,8628.366344,5286.305781,-0.691746765,0.118969062,-5.814509685,6.08E-09,1.65E-07
WBGene00019457,vms-1,2787.782014,2062.499865,3512.836006,0.748930884,0.128871777,5.811442194,6.19E-09,1.68E-07
WBGene00018939,fbxa-190,75.56816191,28.79065538,122.4597633,1.750036957,0.301372216,5.806895479,6.36E-09,1.72E-07
WBGene00011059,R06C1.4,1097.226367,1496.456823,698.2827887,-1.044324814,0.179977933,-5.802515868,6.53E-09,1.77E-07
WBGene00000281,cah-3,1099.985304,1508.015423,691.8679973,-1.065085764,0.183568037,-5.802130814,6.55E-09,1.77E-07
WBGene00022599,daf-41,8787.859594,10880.94184,6694.730587,-0.685940024,0.11824671,-5.80092269,6.60E-09,1.78E-07
WBGene00002011,hsp-12.2,622.1862661,863.6223254,381.1915877,-1.111905876,0.191816579,-5.79671413,6.76E-09,1.82E-07
WBGene00004415,rpl-4,46148.35613,58617.2373,33680.06332,-0.777566565,0.134278436,-5.790703167,7.01E-09,1.88E-07
WBGene00021420,trap-3,3883.347216,5183.774545,2583.418068,-0.961973011,0.166168114,-5.789155251,7.07E-09,1.90E-07
WBGene00015043,cyp-34A8,574.9263079,845.8508376,303.7672837,-1.347538641,0.233001653,-5.783386624,7.32E-09,1.96E-07
WBGene00004416,rpl-5,42983.92515,55160.50362,30807.93261,-0.814919967,0.140992656,-5.779875301,7.48E-09,2.00E-07
WBGene00016655,acbp-1,4512.952951,5786.884581,3239.07608,-0.811867373,0.141040161,-5.756285082,8.60E-09,2.30E-07
WBGene00012886,Y45F10D.6,303.0195784,144.6681546,461.2106712,1.486556554,0.258431782,5.752220339,8.81E-09,2.35E-07
WBGene00015577,ugt-64,2292.705544,3034.703957,1550.242557,-0.929969982,0.161974552,-5.74145735,9.39E-09,2.50E-07
WBGene00003658,nhr-68,2084.716689,2923.798832,1245.492153,-1.152782989,0.200940308,-5.736942474,9.64E-09,2.56E-07
WBGene00000215,asp-2,35633.25768,44025.60186,27241.11781,-0.677965396,0.118237924,-5.733908155,9.81E-09,2.60E-07
WBGene00000534,cpi-2,2268.740209,2831.72083,1706.156533,-0.713795307,0.124568263,-5.730153811,1.00E-08,2.66E-07
WBGene00006573,tin-10,558.5397106,733.8745031,383.0518317,-0.902295301,0.157504359,-5.728700507,1.01E-08,2.68E-07
WBGene00022610,ltah-1.2,5640.289313,7839.215069,3441.094442,-1.116955878,0.195006767,-5.727780086,1.02E-08,2.69E-07
WBGene00019235,H23N18.4,23.30413675,4.301598742,42.22110962,2.172347712,0.379478207,5.724565136,1.04E-08,2.73E-07
WBGene00001000,dim-1,17757.76468,21705.29796,13810.66623,-0.639995539,0.111847682,-5.722027765,1.05E-08,2.77E-07
WBGene00015887,C17C3.1,1354.301012,1718.396317,990.1241755,-0.773331232,0.135162352,-5.721498797,1.06E-08,2.77E-07
WBGene00013074,hmit-1.2,205.7081977,327.7990181,83.64802073,-1.675332845,0.293137173,-5.71518388,1.10E-08,2.87E-07
WBGene00044107,F58G6.9,573.7113481,924.0314223,223.2670948,-1.721292305,0.301248425,-5.713863254,1.10E-08,2.89E-07
WBGene00008676,oac-15,27.07769606,50.26264098,3.936272543,-2.24716433,0.394205114,-5.700495128,1.19E-08,3.12E-07
WBGene00015184,djr-1.1,1154.276134,1428.234834,880.4005111,-0.68284827,0.119981442,-5.69128241,1.26E-08,3.29E-07
WBGene00003437,msp-42,204.9213599,293.5305502,116.1356405,-1.23644574,0.217579575,-5.682728905,1.33E-08,3.45E-07
WBGene00012693,Y39B6A.34,256.2324639,343.8067229,168.7796349,-0.979287389,0.172355815,-5.681777497,1.33E-08,3.47E-07
WBGene00000877,cyn-1,4404.222198,5643.867115,3164.534005,-0.808914061,0.142426581,-5.679516109,1.35E-08,3.51E-07
WBGene00009688,F44E5.1,2213.789724,2844.671464,1583.439046,-0.818448888,0.144137889,-5.67823556,1.36E-08,3.53E-07
WBGene00011884,enol-1,19914.18361,24968.48929,14860.27511,-0.729873525,0.128731805,-5.669721832,1.43E-08,3.70E-07
WBGene00000031,abu-8,1591.888709,2212.05832,971.3619877,-1.114953995,0.196912403,-5.662182656,1.49E-08,3.86E-07
WBGene00000081,ads-1,7498.676775,9659.730065,5337.493118,-0.827887949,0.146288224,-5.659293187,1.52E-08,3.92E-07
WBGene00004439,rpl-25.2,19350.85067,24609.30346,14092.48429,-0.780995776,0.138033628,-5.65801093,1.53E-08,3.95E-07
WBGene00000718,col-145,6919.972594,8797.391432,5042.182053,-0.779816503,0.137931671,-5.653643561,1.57E-08,4.04E-07
WBGene00021348,moag-4,935.4569526,1222.1275,649.1992047,-0.878863196,0.155476636,-5.652702678,1.58E-08,4.06E-07
WBGene00008572,F08B12.4,2473.953407,3353.919799,1594.262608,-1.018508598,0.180690883,-5.636745925,1.73E-08,4.45E-07
WBGene00006787,unc-52,21309.27421,27278.32853,15340.71746,-0.804606216,0.142801878,-5.63442322,1.76E-08,4.50E-07
WBGene00013325,Y57G11C.36,1196.818015,1553.66541,840.4788962,-0.855166797,0.151783647,-5.634116821,1.76E-08,4.50E-07
WBGene00021583,clec-72,720.8804435,311.899116,1130.03799,1.599122064,0.284386979,5.623049519,1.88E-08,4.79E-07
WBGene00014665,C04G2.3,1335.907207,1735.830726,935.7917963,-0.85944193,0.152982223,-5.617920256,1.93E-08,4.93E-07
WBGene00005833,srw-86,56.19690181,16.07557323,96.16859708,1.955511279,0.348148732,5.616884683,1.94E-08,4.95E-07
WBGene00001778,gst-30,49.46813233,10.93142916,87.93028513,2.092006716,0.372818926,5.611321124,2.01E-08,5.10E-07
WBGene00044063,bpnt-1,1756.16386,2162.019643,1350.430339,-0.66459556,0.118480564,-5.609321358,2.03E-08,5.16E-07
WBGene00013075,ints-5,955.2457038,1202.648421,708.2705168,-0.743476438,0.132636914,-5.605350839,2.08E-08,5.27E-07
WBGene00000198,art-1,9299.296269,11599.48718,6999.407122,-0.711002141,0.12693012,-5.601524217,2.12E-08,5.38E-07
WBGene00015540,sams-4,3922.556011,4975.698922,2869.968634,-0.770936993,0.137880558,-5.59133939,2.25E-08,5.69E-07
WBGene00016918,test-1,5583.543262,6736.154863,4431.091658,-0.594002247,0.106370883,-5.584256059,2.35E-08,5.92E-07
WBGene00017834,F26F12.3,5333.976285,4052.138088,6616.013836,0.690894337,0.123847184,5.578603521,2.42E-08,6.11E-07
WBGene00000835,cuc-1,1760.192451,2315.040765,1205.365625,-0.903542132,0.162068336,-5.575068853,2.47E-08,6.22E-07
WBGene00009740,F45H10.3,849.5476425,1101.344742,598.0942143,-0.849431838,0.152627101,-5.56540636,2.62E-08,6.57E-07
WBGene00011517,cgt-1,773.0674929,424.7372342,1121.57864,1.280866875,0.23030736,5.561554253,2.67E-08,6.70E-07
WBGene00021691,Y48G8AL.13,1390.905065,1762.404209,1019.326612,-0.767089049,0.137948876,-5.560676325,2.69E-08,6.73E-07
WBGene00015810,C16A3.5,5215.692864,6509.865039,3921.74557,-0.712898344,0.128384048,-5.552857651,2.81E-08,7.03E-07
WBGene00013557,Y75B8A.24,4379.134893,5344.1562,3414.598266,-0.633567252,0.114185201,-5.548593372,2.88E-08,7.19E-07
WBGene00009454,F36A2.7,13896.83015,16958.86669,10835.22401,-0.633623536,0.114214146,-5.547680042,2.89E-08,7.22E-07
WBGene00008134,C47B2.9,486.5592592,622.2838371,351.1466604,-0.799380274,0.144115038,-5.546820685,2.91E-08,7.24E-07
WBGene00004888,smo-1,2074.933874,2653.884316,1495.906688,-0.800808424,0.144392394,-5.546056833,2.92E-08,7.26E-07
WBGene00019579,oac-57,249.8803457,154.8996702,344.6354589,1.084156225,0.195765834,5.538025733,3.06E-08,7.59E-07
WBGene00004429,rpl-17,15522.03164,19458.63546,11585.92542,-0.728423245,0.131556213,-5.536973361,3.08E-08,7.62E-07
WBGene00003689,nhr-99,366.3681302,261.6793777,470.982929,0.819458498,0.148110189,5.532762477,3.15E-08,7.80E-07
WBGene00019900,vdac-1,19418.05252,24268.51728,14568.12359,-0.717517821,0.129710354,-5.531692727,3.17E-08,7.83E-07
WBGene00019893,sgt-1,6079.124513,7415.22428,4743.489432,-0.631875865,0.114273405,-5.529509387,3.21E-08,7.92E-07
WBGene00012747,Y40H7A.10,718.6680152,917.6931235,519.6054027,-0.794749494,0.143783603,-5.527400045,3.25E-08,8.00E-07
WBGene00004432,rpl-20,22977.02232,28747.67336,17206.93461,-0.721340106,0.130562259,-5.524874597,3.30E-08,8.11E-07
WBGene00017594,F19C7.4,155.2425015,97.98367865,212.5081098,1.053225169,0.190644939,5.524537778,3.30E-08,8.11E-07
WBGene00015739,ugt-7,251.6367094,167.9621191,335.0342786,0.95046065,0.172100581,5.522704494,3.34E-08,8.18E-07
WBGene00012483,coa-5,449.738931,577.9818727,321.5871087,-0.817437863,0.148242381,-5.514198137,3.50E-08,8.58E-07
WBGene00008860,romo-1,701.5864556,934.4707565,468.6994082,-0.949731386,0.172380026,-5.509521079,3.60E-08,8.80E-07
WBGene00044344,mrpl-39,927.724016,1201.034072,654.385446,-0.844517863,0.153382763,-5.505950251,3.67E-08,8.96E-07
WBGene00013018,Y48G10A.1,1568.598391,1978.254896,1159.018888,-0.749558111,0.136336354,-5.497859454,3.84E-08,9.37E-07
WBGene00021088,W08E12.7,18329.26243,22884.43641,13774.46831,-0.713641636,0.129963016,-5.491113244,3.99E-08,9.72E-07
WBGene00001843,hgo-1,3051.713548,3746.649437,2356.58818,-0.654547097,0.11930259,-5.486444987,4.10E-08,9.97E-07
WBGene00001236,elc-1,391.5453048,499.666064,283.6793958,-0.790832437,0.144194011,-5.484502644,4.15E-08,1.01E-06
WBGene00018793,mrpl-40,488.4039782,634.9738471,342.0887929,-0.85873213,0.156704047,-5.479961407,4.25E-08,1.03E-06
WBGene00012529,Y32F6A.4,2869.93044,1925.861545,3813.66414,0.940746188,0.171695854,5.479143291,4.27E-08,1.03E-06
WBGene00004809,skr-3,3048.066593,2273.934362,3822.289606,0.729113018,0.133129443,5.476722527,4.33E-08,1.05E-06
WBGene00008132,gale-1,6652.442627,3579.164694,9725.920042,1.307981525,0.239118755,5.470008081,4.50E-08,1.09E-06
WBGene00009686,ent-7,418.5652726,553.6700801,283.2315947,-0.924363283,0.169065705,-5.467479554,4.56E-08,1.10E-06
WBGene00021442,Y39A3CL.4,1182.250387,1444.395326,920.4305662,-0.636777183,0.116586973,-5.46182103,4.71E-08,1.13E-06
WBGene00045316,C49F5.9,30.61080772,54.20320426,7.050153126,-2.04274249,0.374007583,-5.461767575,4.71E-08,1.13E-06
WBGene00044681,T24C4.8,50.57473336,16.35054995,84.77174187,1.846207213,0.338337324,5.456705725,4.85E-08,1.16E-06
WBGene00018823,F54E2.1,4830.671471,3553.202312,6108.085162,0.758632124,0.139038789,5.456262458,4.86E-08,1.16E-06
WBGene00006937,wah-1,4182.291253,5117.870589,3246.945461,-0.642724521,0.117840662,-5.45418286,4.92E-08,1.18E-06
WBGene00004479,rps-10,19889.46194,25214.78417,14564.65696,-0.767913866,0.14081711,-5.453271017,4.95E-08,1.18E-06
WBGene00008439,mfb-1,917.2595111,601.510088,1232.978611,0.98311353,0.18036709,5.45062588,5.02E-08,1.20E-06
WBGene00021852,Y54F10AM.8,9523.887921,11527.18251,7520.987581,-0.604650728,0.110933606,-5.450564093,5.02E-08,1.20E-06
WBGene00001167,eef-2,162816.0022,200795.5403,124837.0002,-0.670018984,0.12300223,-5.447210038,5.12E-08,1.22E-06
WBGene00017660,F21C10.11,89.21143706,45.26582205,133.221456,1.388600642,0.254951511,5.446528389,5.14E-08,1.22E-06
WBGene00009706,argk-1,38.23917273,66.96074223,9.647983906,-1.997599277,0.367373855,-5.437510731,5.40E-08,1.28E-06
WBGene00007129,B0272.3,2998.319931,3940.150259,2056.767942,-0.898420364,0.165263799,-5.436280489,5.44E-08,1.29E-06
WBGene00001983,hoe-1,5799.589206,4021.002451,7578.181173,0.877583369,0.161623994,5.42978397,5.64E-08,1.33E-06
WBGene00011321,fil-1,81.46529926,36.95753759,126.0863213,1.528250496,0.281604325,5.426942565,5.73E-08,1.35E-06
WBGene00018997,F57B9.3,28.74984556,7.37270128,50.11257893,1.97592514,0.364435661,5.421876481,5.90E-08,1.39E-06
WBGene00004302,ran-1,13700.74904,16883.82611,10517.79972,-0.667194943,0.123067454,-5.42137602,5.91E-08,1.39E-06
WBGene00004448,rpl-34,11376.0401,14344.27459,8408.184999,-0.748242816,0.138209653,-5.413824566,6.17E-08,1.45E-06
WBGene00018400,F43H9.4,470.427813,682.7856428,258.1300853,-1.276615909,0.235842278,-5.413007029,6.20E-08,1.45E-06
WBGene00004423,rpl-11.2,8193.624783,10483.09798,5904.673654,-0.800487911,0.147899116,-5.412391446,6.22E-08,1.46E-06
WBGene00004875,smd-1,3505.99197,4850.746019,2161.53695,-1.091319157,0.201732278,-5.409739911,6.31E-08,1.48E-06
WBGene00016146,C26F1.1,1655.955311,2085.254486,1226.275983,-0.743896507,0.137635898,-5.404814587,6.49E-08,1.52E-06
WBGene00006587,tnt-2,19631.08895,23994.68436,15268.05547,-0.638475933,0.118160332,-5.403471029,6.54E-08,1.53E-06
WBGene00044011,T06E4.12,416.2408558,541.0160399,291.4059456,-0.858043852,0.158893047,-5.400134656,6.66E-08,1.55E-06
WBGene00013058,clec-247,71.44653893,105.2936061,37.71308215,-1.332688941,0.246828599,-5.399248488,6.69E-08,1.56E-06
WBGene00021476,nsun-4,604.625491,758.4417328,451.0075127,-0.729130825,0.135066438,-5.398312392,6.73E-08,1.56E-06
WBGene00003620,nhr-21,897.1928461,658.216985,1136.232921,0.763610277,0.141528044,5.39546972,6.83E-08,1.59E-06
WBGene00021097,cdc-37,1989.422626,2552.757805,1426.517871,-0.810546901,0.150379384,-5.390013451,7.05E-08,1.63E-06
WBGene00009493,hrg-4,77.49316104,37.609416,117.3828387,1.442391036,0.267792637,5.386223654,7.20E-08,1.67E-06
WBGene00001819,haf-9,7953.617676,9769.728599,6137.647764,-0.655616121,0.121810502,-5.38226268,7.36E-08,1.70E-06
WBGene00016340,gba-2,86.32262654,39.06274736,133.6536551,1.527056406,0.283911888,5.378627911,7.51E-08,1.73E-06
WBGene00021818,Y53G8B.2,784.7613747,510.0976788,1059.173426,0.997453398,0.185571525,5.375034756,7.66E-08,1.76E-06
WBGene00010759,cysl-2,5758.410234,2742.521439,8774.617792,1.466672149,0.272883217,5.374724629,7.67E-08,1.77E-06
WBGene00018708,oac-32,1047.077611,690.7002296,1403.338954,0.970805117,0.180696397,5.372575963,7.76E-08,1.78E-06
WBGene00013463,kdp-1,7438.031602,9132.773933,5743.798282,-0.654077736,0.121768902,-5.371467802,7.81E-08,1.79E-06
WBGene00006044,ssp-16,711.6310478,948.5110183,474.7861029,-0.949936021,0.176888967,-5.37023896,7.86E-08,1.80E-06
WBGene00008368,D1053.3,310.9093299,149.8782677,472.0305372,1.450962106,0.270307691,5.367816585,7.97E-08,1.82E-06
WBGene00019232,ugt-13,1909.561804,999.340363,2819.587716,1.342003816,0.25032511,5.361043537,8.27E-08,1.89E-06
WBGene00017480,nstp-2,3877.455156,2938.95971,4815.701118,0.694336545,0.129555409,5.359379045,8.35E-08,1.91E-06
WBGene00003053,lmp-1,3589.397413,4671.026531,2508.170437,-0.86145843,0.160817533,-5.356744462,8.47E-08,1.93E-06
WBGene00007350,sucl-1,4001.621657,4962.321498,3041.467818,-0.688545728,0.128701985,-5.349923149,8.80E-08,2.00E-06
WBGene00013436,Y66D12A.10,604.103387,747.9179527,460.4219766,-0.682663038,0.12768331,-5.346533074,8.97E-08,2.04E-06
WBGene00003514,myo-2,5686.596757,7481.95195,3891.646545,-0.901591289,0.168752097,-5.342696812,9.16E-08,2.08E-06
WBGene00007550,C13C4.6,172.6591537,96.91909192,248.6468149,1.240465941,0.232199816,5.342234814,9.18E-08,2.08E-06
WBGene00015471,lmp-2,362.3966173,230.4691742,494.1662072,1.035353489,0.19404451,5.335649488,9.52E-08,2.16E-06
WBGene00007455,ugt-22,7646.865977,5503.981156,9789.843998,0.802046306,0.150510894,5.328825594,9.88E-08,2.23E-06
WBGene00004075,pod-1,4829.793097,5861.920644,3797.881623,-0.61367087,0.115190986,-5.327420909,9.96E-08,2.25E-06
WBGene00019914,clec-150,2980.295652,3738.702957,2222.159493,-0.729219391,0.136885821,-5.327209103,9.97E-08,2.25E-06
WBGene00004438,rpl-25.1,4047.803909,5122.777407,2973.311656,-0.760442055,0.142929368,-5.320404532,1.04E-07,2.33E-06
WBGene00008296,cdr-2,1412.105898,1006.02275,1817.66055,0.822195771,0.154536614,5.320394616,1.04E-07,2.33E-06
WBGene00009642,F42G4.5,211.3053765,117.2279059,305.4117937,1.255712199,0.236484832,5.309905875,1.10E-07,2.46E-06
WBGene00017349,farl-11,5530.608398,6794.215119,4266.787616,-0.655676901,0.123582071,-5.305598897,1.12E-07,2.52E-06
WBGene00022389,pde-6,865.4430454,1074.526905,656.5333575,-0.692410961,0.130571517,-5.302924983,1.14E-07,2.55E-06
WBGene00004701,rsp-4,1348.210918,1633.022668,1063.482161,-0.606564016,0.114392753,-5.302468907,1.14E-07,2.56E-06
WBGene00007993,idhb-1,3275.131952,4043.079637,2507.497599,-0.672425083,0.126896343,-5.299010728,1.16E-07,2.60E-06
WBGene00004778,ser-3,338.1153436,243.2794542,432.9465284,0.802271964,0.151738814,5.287190171,1.24E-07,2.77E-06
WBGene00007355,rpb-6,1923.539338,2375.78236,1471.44435,-0.67415498,0.12757541,-5.284364609,1.26E-07,2.81E-06
WBGene00022538,ZC190.4,1614.2697,979.2308224,2249.484623,1.114962468,0.211075631,5.282288917,1.28E-07,2.84E-06
WBGene00004085,pph-4.1,1439.511278,1789.854365,1089.625022,-0.697110905,0.131988353,-5.281609255,1.28E-07,2.84E-06
WBGene00010923,rle-1,3745.34882,4672.028699,2819.150464,-0.708866623,0.134249693,-5.280210375,1.29E-07,2.86E-06
WBGene00016595,cest-10,841.51118,1260.161105,422.9275387,-1.391906603,0.263784999,-5.276670812,1.32E-07,2.91E-06
WBGene00016981,rpn-13,3288.494897,4043.253507,2534.237219,-0.658097657,0.124833444,-5.271805654,1.35E-07,2.99E-06
WBGene00011798,T16G1.4,102.1967127,55.78355194,148.5497149,1.276871064,0.242234893,5.271210302,1.36E-07,2.99E-06
WBGene00003982,pes-9,9230.42862,11372.37406,7088.814012,-0.665480755,0.12627055,-5.270276837,1.36E-07,3.01E-06
WBGene00013807,Y116A8C.30,652.7277218,813.5999713,492.0416616,-0.7057999,0.133938477,-5.26958282,1.37E-07,3.01E-06
WBGene00019658,K11H12.1,144.3443785,201.2761734,87.34482303,-1.117967054,0.212307541,-5.265790591,1.40E-07,3.07E-06
WBGene00000113,alh-7,771.7967196,991.4882655,552.4076818,-0.81303146,0.154469148,-5.263390592,1.41E-07,3.11E-06
WBGene00002079,xpo-2,2102.530635,2632.60655,1572.854728,-0.721857535,0.137217297,-5.260689082,1.44E-07,3.15E-06
WBGene00013088,Y51B9A.6,19.72910501,34.90165388,4.538797968,-1.990395022,0.37857209,-5.257638045,1.46E-07,3.20E-06
WBGene00000889,cyn-13,1133.149011,1411.918109,854.8180967,-0.70426412,0.133965716,-5.257047412,1.46E-07,3.20E-06
WBGene00008654,pfas-1,4123.388894,5600.799801,2646.185093,-1.017581326,0.194425675,-5.233780596,1.66E-07,3.63E-06
WBGene00008965,mltn-10,124.3793274,71.05226986,177.9729927,1.20988887,0.231284215,5.231177885,1.68E-07,3.68E-06
WBGene00012094,T27E9.2,4173.531834,5221.7479,3125.296891,-0.719265587,0.137522936,-5.23015003,1.69E-07,3.69E-06
WBGene00021093,W08F4.3,764.0737486,969.9367069,558.5218059,-0.769942531,0.14722988,-5.229526304,1.70E-07,3.70E-06
WBGene00021879,clec-83,6446.952177,4926.8802,7966.719499,0.675781314,0.129243523,5.228744132,1.71E-07,3.71E-06
WBGene00008335,C55A6.6,113.7627867,58.20509886,169.1170812,1.362763107,0.261136642,5.218582491,1.80E-07,3.92E-06
WBGene00019983,sti-1,2543.68862,3205.574192,1882.3039,-0.744209952,0.142877171,-5.208739431,1.90E-07,4.12E-06
WBGene00013119,Y51H4A.25,303.3426604,179.876226,426.8336594,1.149302216,0.220719385,5.20707421,1.92E-07,4.15E-06
WBGene00013671,Y105E8A.11,322.493421,431.8539349,213.2679709,-0.963542104,0.18503826,-5.207258782,1.92E-07,4.15E-06
WBGene00003097,lys-8,11713.67779,8483.464216,14944.28706,0.788136131,0.151665415,5.196544844,2.03E-07,4.39E-06
WBGene00016987,CC8.2,261.7508646,370.5677052,152.9010059,-1.17248147,0.225695971,-5.194959675,2.05E-07,4.42E-06
WBGene00021401,prdx-6,934.5991717,1163.8136,705.4083482,-0.70226789,0.135284502,-5.19104464,2.09E-07,4.51E-06
WBGene00000753,col-180,3534.312978,4623.812233,2444.556458,-0.878792551,0.169361098,-5.188868985,2.12E-07,4.55E-06
WBGene00020952,kel-8,1149.67768,1497.129315,801.8996465,-0.862326107,0.166268854,-5.186335769,2.14E-07,4.61E-06
WBGene00000986,dhs-23,87.31383802,27.11985448,147.4045554,1.832311497,0.353333503,5.185784765,2.15E-07,4.62E-06
WBGene00012407,Y7A5A.1,2929.826474,3571.298757,2288.57352,-0.627796008,0.121100863,-5.184075428,2.17E-07,4.65E-06
WBGene00022150,Y71G12B.10,1045.6936,1331.797507,760.014305,-0.781157563,0.150778859,-5.180816238,2.21E-07,4.73E-06
WBGene00017073,D2096.6,954.7953464,1300.53036,609.080856,-1.026582814,0.198462147,-5.172688247,2.31E-07,4.93E-06
WBGene00001423,fib-1,15558.21887,19117.13244,11999.68191,-0.655547891,0.126754896,-5.171775696,2.32E-07,4.95E-06
WBGene00006220,str-176,310.6059581,167.4750121,453.5798129,1.289909552,0.249510122,5.169768431,2.34E-07,5.00E-06
WBGene00013968,ZK287.9,400.0749096,256.2564372,543.6383442,1.018729462,0.197090499,5.168841051,2.36E-07,5.02E-06
WBGene00020549,nmt-1,4364.054369,5193.077824,3535.398957,-0.545433808,0.105611393,-5.164535662,2.41E-07,5.13E-06
WBGene00000838,cul-3,5425.360589,6464.410377,4386.554877,-0.549894074,0.106573366,-5.159770139,2.47E-07,5.25E-06
WBGene00003951,pbs-5,2578.905,3195.292959,1962.919816,-0.684203859,0.132635379,-5.158532084,2.49E-07,5.28E-06
WBGene00004172,pqn-92,1052.85257,779.4558081,1326.597189,0.742900718,0.144154453,5.153505151,2.56E-07,5.42E-06
WBGene00022570,sdz-35,22.52663869,1.562847432,43.46935224,2.115957592,0.410843149,5.150280822,2.60E-07,5.50E-06
WBGene00006383,taf-2,562.6578005,738.4987828,387.1624943,-0.888632193,0.172786648,-5.142944809,2.70E-07,5.72E-06
WBGene00004920,snr-7,1277.286958,1674.939672,879.487976,-0.886533082,0.172625039,-5.135599605,2.81E-07,5.93E-06
WBGene00015538,sams-3,3502.081841,4601.061079,2403.016278,-0.893234395,0.173933968,-5.135479893,2.81E-07,5.93E-06
WBGene00004099,abu-15,923.8778475,1328.289238,519.1421607,-1.228919478,0.239346637,-5.134475646,2.83E-07,5.96E-06
WBGene00008494,F01D5.3,156.4785904,90.62907217,222.509285,1.184176257,0.230692361,5.133140297,2.85E-07,5.99E-06
WBGene00022029,Y65B4A.6,2074.137159,2575.811747,1572.939692,-0.691945062,0.134811863,-5.132671923,2.86E-07,6.00E-06
WBGene00018488,acs-1,7813.352122,10796.93179,4829.957311,-1.079079026,0.210304266,-5.131037269,2.88E-07,6.04E-06
WBGene00009393,clec-62,1817.086613,1294.990098,2339.525067,0.819658148,0.160156593,5.117854538,3.09E-07,6.47E-06
WBGene00012830,mrps-28,212.4510315,286.5991255,138.3905061,-0.988782472,0.193246375,-5.116693511,3.11E-07,6.51E-06
WBGene00008519,cyp-13B1,93.4134843,48.76360493,138.010739,1.330653927,0.260201396,5.11393847,3.16E-07,6.59E-06
WBGene00021335,spp-23,60.99797364,91.09021232,30.95190123,-1.368919795,0.267711472,-5.113414771,3.16E-07,6.60E-06
WBGene00021629,scpl-3,396.6672368,287.6636603,505.7132876,0.784566948,0.153498201,5.111245238,3.20E-07,6.67E-06
WBGene00194708,Y36E3A.2,122.3155937,66.95070859,177.7264104,1.265984585,0.24769626,5.111036338,3.20E-07,6.67E-06
WBGene00001638,gly-13,1170.583864,910.0949865,1430.963375,0.637529452,0.124804877,5.108209435,3.25E-07,6.76E-06
WBGene00010904,ugt-62,3694.503322,4768.774898,2619.703152,-0.829056281,0.162638577,-5.097537714,3.44E-07,7.15E-06
WBGene00011119,mpc-1,1684.411836,2242.780311,1125.989131,-0.941196727,0.184779644,-5.093616951,3.51E-07,7.29E-06
WBGene00015897,nhr-156,320.1251498,488.6662926,151.5767429,-1.45248645,0.285260893,-5.091782589,3.55E-07,7.35E-06
WBGene00000740,col-167,1984.844346,2517.335796,1452.17233,-0.766213742,0.150490237,-5.09145151,3.55E-07,7.35E-06
WBGene00022766,cblc-1,1326.736511,1667.280944,986.3604949,-0.733354498,0.14409303,-5.08945157,3.59E-07,7.42E-06
WBGene00001232,eif-3.I,4467.466193,5489.218917,3446.238831,-0.654704551,0.128853662,-5.080992989,3.75E-07,7.75E-06
WBGene00015205,moa-2,265.2839495,345.6348696,184.9816525,-0.861755834,0.16969398,-5.078293495,3.81E-07,7.85E-06
WBGene00022037,acs-13,3606.996751,4293.947229,2920.1587,-0.546580173,0.107645154,-5.077610578,3.82E-07,7.87E-06
WBGene00006627,tsp-1,71.74503748,21.17250538,122.2474656,1.841174635,0.362852598,5.074166875,3.89E-07,7.99E-06
WBGene00012895,cox-10,526.5908032,670.409613,383.0255493,-0.778508312,0.153427252,-5.074120163,3.89E-07,7.99E-06
WBGene00018540,btb-21,149.6611097,98.19384312,201.0074826,0.97373442,0.191971557,5.072284847,3.93E-07,8.06E-06
